Vigna	Glycine	79.001	5743	777	108	936	6463	470	5998	0.0	4819
Vigna	Glycine	80.585	2771	507	11	26851	29594	12475	15241	0.0	2551
Vigna	Glycine	78.879	2926	556	15	26850	29720	26536	29454	0.0	2479
Vigna	Glycine	81.174	2624	467	13	14066	16680	12572	15177	0.0	2471
Vigna	Glycine	80.703	2617	489	9	14066	16680	26634	29236	0.0	2417
Vigna	Glycine	80.408	2644	490	9	26982	29600	52417	55057	0.0	2417
Vigna	Glycine	79.051	2783	531	12	26851	29600	34328	37091	0.0	2383
Vigna	Glycine	80.549	2586	489	7	14090	16668	52397	54975	0.0	2378
Vigna	Glycine	79.783	2671	498	13	14020	16668	34359	37009	0.0	2361
Vigna	Glycine	80.016	2562	372	41	6847	9327	6108	8610	0.0	2253
Vigna	Glycine	79.148	1760	225	42	32764	34410	59235	60965	0.0	1458
Vigna	Glycine	78.873	1704	216	41	32764	34352	41413	43087	0.0	1395
Vigna	Glycine	76.637	1344	182	24	34612	35871	61068	62363	0.0	1020
Vigna	Glycine	80.019	1061	150	17	7848	8874	45218	46250	0.0	937
Vigna	Glycine	85.714	630	72	6	37769	38380	63399	64028	0.0	720
Vigna	Glycine	79.853	680	82	12	31220	31863	40562	41222	1.42e-173	605
Vigna	Glycine	79.356	683	83	11	31220	31866	58388	59048	6.03e-172	600
Vigna	Glycine	81.240	597	94	7	36683	37261	62771	63367	6.44e-159	556
Vigna	Glycine	77.931	435	75	7	34612	35037	44795	45217	8.97e-094	340
Vigna	Glycine	72.957	514	77	8	9365	9827	46434	46936	8.41e-088	320
Vigna	Glycine	79.179	341	50	8	8996	9327	46247	46575	2.57e-075	279
Vigna	Glycine	69.944	539	78	9	9365	9827	8469	8999	8.98e-075	277
Vigna	Glycine	82.520	246	32	3	10143	10379	9447	9690	1.52e-065	246
Vigna	Glycine	82.520	246	32	3	10143	10379	47381	47624	1.52e-065	246
Vigna	Glycine	80.172	232	32	7	36279	36503	62529	62753	2.94e-049	192
Vigna	Glycine	72.000	225	46	6	8869	9083	7836	8053	7.89e-025	111
Vigna	Glycine	71.556	225	46	6	8869	9083	45925	46141	9.62e-024	107
Vigna	Glycine	84.946	93	10	3	7135	7224	6517	6608	6.07e-020	95.1
Vigna	Glycine	78.313	83	18	0	31111	31193	39843	39925	2.42e-012	69.8
Vigna	Glycine	78.313	83	18	0	31111	31193	57668	57750	2.42e-012	69.8
Vigna	Glycine	73.913	115	19	4	38501	38609	64057	64166	1.03e-010	64.4
Vigna	Glycine	81.818	66	10	2	34347	34410	44627	44692	4.37e-009	59.0
