Phaseolus	Vigna	87.581	4340	330	45	1	4248	38739	34517	0.0	5382
Phaseolus	Vigna	85.711	3954	331	46	18525	22368	7162	3333	0.0	4587
Phaseolus	Vigna	91.166	2762	222	5	10529	13289	16731	13991	0.0	3878
Phaseolus	Vigna	88.420	2608	250	21	22406	24978	3474	884	0.0	3294
Phaseolus	Vigna	86.540	2786	247	43	15798	18521	10088	7369	0.0	3256
Phaseolus	Vigna	88.054	2168	154	30	4246	6355	34406	32286	0.0	2702
Phaseolus	Vigna	77.400	2708	555	21	10580	13272	29531	26866	0.0	2082
Phaseolus	Vigna	84.744	1134	88	23	6357	7440	31921	30823	0.0	1238
Phaseolus	Vigna	79.883	681	88	15	13545	14189	12970	12303	1.50e-168	587
Phaseolus	Vigna	85.350	314	27	7	15329	15636	10430	10130	8.31e-096	345
Phaseolus	Vigna	89.503	181	18	1	16399	16579	9327	9148	3.10e-063	237
Phaseolus	Vigna	71.915	470	70	17	9749	10205	17265	16845	1.32e-061	232
Phaseolus	Vigna	80.870	230	24	7	15062	15282	10756	10538	6.40e-053	203
Phaseolus	Vigna	80.851	188	28	3	16578	16757	9513	9326	3.78e-043	170
Phaseolus	Vigna	89.189	74	8	0	13417	13490	13979	13906	1.96e-021	98.7
Phaseolus	Vigna	73.077	130	28	3	16916	17038	8684	8555	9.52e-013	69.8
Phaseolus	Vigna	72.308	130	32	2	17224	17353	8994	8869	3.32e-012	68.0
Phaseolus	Vigna	73.846	130	24	7	14610	14732	11331	11205	1.72e-009	59.0
Phaseolus	Vigna	77.273	66	14	1	14759	14824	10889	10825	3.11e-006	48.2
Phaseolus	Vigna	79.592	49	4	2	15694	15742	10132	10090	4.62e-004	41.0
Phaseolus	Vigna	89.655	29	3	0	22373	22401	3295	3267	0.002	39.2
Phaseolus	Vigna	80.000	45	8	1	13499	13542	13178	13134	0.006	37.4
Phaseolus	Vigna	83.784	37	5	1	10924	10959	29055	29019	0.006	37.4
Phaseolus	Vigna	91.667	24	2	0	12088	12111	7140	7117	0.020	35.6
Phaseolus	Vigna	88.889	27	3	0	2071	2097	7147	7121	0.020	35.6
Phaseolus	Vigna	87.097	31	3	1	14347	14377	22414	22443	0.020	35.6
Phaseolus	Vigna	85.714	28	4	0	23481	23508	11028	11055	0.069	33.7
Phaseolus	Vigna	77.778	45	8	1	9475	9519	23864	23822	0.069	33.7
Phaseolus	Vigna	84.211	38	3	3	8776	8812	534	499	0.24	31.9
Phaseolus	Vigna	83.333	30	5	0	10924	10953	16198	16169	0.24	31.9
Phaseolus	Vigna	83.333	30	5	0	11068	11097	16342	16313	0.24	31.9
Phaseolus	Vigna	90.909	22	2	0	8909	8930	17876	17855	0.24	31.9
Phaseolus	Vigna	85.185	27	4	0	11897	11923	19469	19495	0.24	31.9
Phaseolus	Vigna	85.185	27	4	0	12836	12862	20249	20223	0.24	31.9
Phaseolus	Vigna	85.185	27	4	0	20630	20656	20514	20540	0.24	31.9
Phaseolus	Vigna	95.000	20	1	0	20585	20604	22369	22388	0.24	31.9
Phaseolus	Vigna	75.556	45	7	1	9479	9519	26431	26387	0.24	31.9
Phaseolus	Vigna	78.571	42	8	1	10177	10218	29837	29797	0.24	31.9
Phaseolus	Vigna	90.909	22	2	0	19673	19694	35712	35691	0.24	31.9
Phaseolus	Vigna	83.333	30	5	0	2040	2069	36555	36526	0.24	31.9
Phaseolus	Vigna	100.000	16	0	0	8304	8319	487	472	0.84	30.1
Phaseolus	Vigna	90.476	21	2	0	25422	25442	885	865	0.84	30.1
Phaseolus	Vigna	83.333	30	3	1	1578	1607	5114	5087	0.84	30.1
Phaseolus	Vigna	77.083	48	5	3	14002	14046	6731	6687	0.84	30.1
Phaseolus	Vigna	87.500	24	3	0	14844	14867	6715	6692	0.84	30.1
Phaseolus	Vigna	87.500	24	3	0	11663	11686	9383	9406	0.84	30.1
Phaseolus	Vigna	100.000	16	0	0	18979	18994	14919	14934	0.84	30.1
Phaseolus	Vigna	100.000	16	0	0	15145	15160	15225	15240	0.84	30.1
Phaseolus	Vigna	90.476	21	2	0	14180	14200	17362	17382	0.84	30.1
Phaseolus	Vigna	85.714	28	3	1	5078	5104	22599	22626	0.84	30.1
Phaseolus	Vigna	90.476	21	2	0	8776	8796	26110	26090	0.84	30.1
Phaseolus	Vigna	90.476	21	2	0	4526	4546	26339	26359	0.84	30.1
Phaseolus	Vigna	87.500	24	3	0	2169	2192	36689	36666	0.84	30.1
